profile_uuid,bank_uuid,name,bic,url,adapter_id,bank_code,idp_url,aspsp_sca_approaches,protocol_type,is_sandbox
6c31b718-bca9-458c-b617-ef17a5b89bee,c8fd9113-68ef-42b9-92ae-57988546492a,Commerzbank vormals Dresdner Bank PCC DCC-ITGK 10,DRESDEFFJ03,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37080092,https://psd2.api.commerzbank.com/berlingroup,,XS2A,false
8de17ed0-f92f-4ec0-85c5-cb64b7171b51,4e246d06-aed7-47ee-b3dd-73837cd49a56,Commerzbank vormals Dresdner Bank PCC DCC-ITGK 11,DRESDEFFJ04,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37080093,https://psd2.api.commerzbank.com/berlingroup,,XS2A,false
6d5f6bce-dff2-46be-909f-a5f80c3dd0d0,64c7c146-ad59-4f19-8b06-92e75c59dc85,Commerzbank vormals Dresdner Bank PCC DCC-ITGK 12,DRESDEFFJ05,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37080094,https://psd2.api.commerzbank.com/berlingroup,,XS2A,false
3b3e4131-e43f-4053-bd9a-5e6d80eac2e3,19c5cb19-e051-40d6-a803-b1976a70092c,Commerzbank vormals Dresdner Bank PCC DCC-ITGK 13,DRESDEFFJ06,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37080095,https://psd2.api.commerzbank.com/berlingroup,,XS2A,false
a90878df-9bcd-4cf6-a5c9-5b0b75ada84a,cf150957-8ecf-4129-bee9-e670bd5c0f33,Commerzbank vormals Dresdner Bank Zw 96,DRESDEFFXXX,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37080096,https://psd2.api.commerzbank.com/berlingroup,,XS2A,false
12e5985b-2c6b-4afe-82f8-c22dc57aa4ff,b4051846-c06a-456e-9ad5-d2284b1e5107,Commerzbank vormals Dresdner Bank Zw 97,DRESDEFFXXX,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37080097,https://psd2.api.commerzbank.com/berlingroup,,XS2A,false
140e2c7a-0d73-49dd-9971-46834ed206dd,c5f8f31a-60fe-47c4-85e4-74ddff40173e,Commerzbank vormals Dresdner Bank PCC DCC-ITGK 14,DRESDEFFJ07,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37080098,https://psd2.api.commerzbank.com/berlingroup,,XS2A,false
e7da06ce-11fd-4352-9893-eba9e903d0aa,56e51b7c-07b3-4a22-841b-f5112bebd355,Commerzbank vormals Dresdner Bank Zw 99,DRESDEFFI36,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37080099,https://psd2.api.commerzbank.com/berlingroup,,XS2A,false
41d8a867-2750-48ce-9e7c-17efab78bb25,ffb3d507-9e3e-4fea-800b-cf524365a044,Commerzbank vormals Dresdner Bank ITGK I,DRESDEFFI04,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37089340,https://psd2.api.commerzbank.com/berlingroup,,XS2A,false
ce8aaea9-1100-4de5-8f42-cb83f4f8eff5,aef9251a-f3cd-4d8f-9da3-53811e5f1fbf,Commerzbank vormals Dresdner Bank ITGK II,DRESDEFFI05,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37089342,https://psd2.api.commerzbank.com/berlingroup,,XS2A,false
81e5fdde-1122-4c11-8740-096fa97c60ef,5cb32d84-9162-41d2-ba4f-16cc798a40b8,Commerzbank,COBADEFFXXX,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,37540050,https://psd2.api.commerzbank.com/berlingroup,,XS2A,false
411989cf-a6e9-4810-b555-3488bf091f02,a7201764-acf8-42b7-9fcb-2641a486e73b,Commerzbank,COBADEFFXXX,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,38040007,https://psd2.api.commerzbank.com/berlingroup,,XS2A,false
d2170a6a-3091-4918-b999-2d8654870f53,9645138b-9b51-4722-b525-58be1ea42978,Commerzbank vormals Dresdner Bank,DRESDEFF380,https://psd2.api.commerzbank.com/berlingroup,commerzbank-adapter,38080055,https://psd2.api.commerzbank.com/berlingroup,,XS2A,false
