id,action_id,protocol_action,sub_protocol_bean_name
10172,10260,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10173,10260,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10174,10260,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10175,10260,DENY_AUTHORIZATION,hbciDenyAuthorization
10176,10266,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10177,10266,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10178,10266,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10179,10266,DENY_AUTHORIZATION,xs2aDenyAuthorization
10180,10272,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10181,10272,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10182,10272,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10183,10272,DENY_AUTHORIZATION,hbciDenyAuthorization
10184,10278,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10185,10278,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10186,10278,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10187,10278,DENY_AUTHORIZATION,xs2aDenyAuthorization
10188,10284,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10189,10284,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10190,10284,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10191,10284,DENY_AUTHORIZATION,hbciDenyAuthorization
10192,10290,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10193,10290,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10194,10290,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10195,10290,DENY_AUTHORIZATION,xs2aDenyAuthorization
10196,10296,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10197,10296,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10198,10296,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10199,10296,DENY_AUTHORIZATION,hbciDenyAuthorization
10200,10302,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10201,10302,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10202,10302,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10203,10302,DENY_AUTHORIZATION,xs2aDenyAuthorization
10204,10308,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10205,10308,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10206,10308,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10207,10308,DENY_AUTHORIZATION,hbciDenyAuthorization
10208,10314,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10209,10314,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10210,10314,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10211,10314,DENY_AUTHORIZATION,xs2aDenyAuthorization
10212,10320,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10213,10320,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10214,10320,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10215,10320,DENY_AUTHORIZATION,hbciDenyAuthorization
10216,10326,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10217,10326,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10218,10326,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10219,10326,DENY_AUTHORIZATION,xs2aDenyAuthorization
10220,10332,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10221,10332,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10222,10332,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10223,10332,DENY_AUTHORIZATION,hbciDenyAuthorization
10224,10338,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10225,10338,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10226,10338,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10227,10338,DENY_AUTHORIZATION,xs2aDenyAuthorization
10228,10344,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10229,10344,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10230,10344,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10231,10344,DENY_AUTHORIZATION,hbciDenyAuthorization
10232,10350,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10233,10350,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10234,10350,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10235,10350,DENY_AUTHORIZATION,xs2aDenyAuthorization
